Make,Type,Year,Origin,Options,Gear_Type,Mileage,Region,Price
Chrysler,C300,2018,Saudi,Full,Automatic,103000,Riyadh,114000
Nissan,Patrol,2016,Saudi,Full,Automatic,5448,Riyadh,0
Nissan,Sunny,2019,Saudi,Standard,Automatic,72418,Riyadh,27500
Hyundai,Elantra,2019,Saudi,Standard,Automatic,114154,Riyadh,43000
Hyundai,Elantra,2019,Saudi,Semi Full,Automatic,41912,Riyadh,59500
Honda,Accord,2018,Saudi,Full,Automatic,39000,Riyadh,72000
Toyota,Land Cruiser,2011,Saudi,Semi Full,Automatic,183000,Riyadh,92000
GMC,Yukon,2009,Saudi,Full,Automatic,323000,Riyadh,0
Chevrolet,Impala,2019,Saudi,Standard,Automatic,70000,Riyadh,80000
Toyota,Yaris,2018,Saudi,Standard,Automatic,131000,Jeddah,32000
Toyota,Camry,2017,Gulf Arabic,Standard,Automatic,107000,Dammam,50000
Nissan,Patrol,2014,Saudi,Full,Automatic,106000,Dammam,135000
Chevrolet,Tahoe,2018,Other,Semi Full,Automatic,176140,Riyadh,153000
Mercedes,CLA,2020,Other,Standard,Automatic,20000,Riyadh,235000
Mercedes,E,2017,Saudi,Full,Automatic,20600,Dammam,210000
Toyota,Corolla,2018,Saudi,Standard,Automatic,7702,Dammam,45000
MINI,Copper,2016,Gulf Arabic,Full,Automatic,110000,Dammam,83000
Nissan,Sunny,2017,Saudi,Standard,Automatic,58000,Al-Medina,24500
GMC,Yukon,2018,Saudi,Full,Automatic,37000,Riyadh,0
Nissan,Patrol,2016,Saudi,Standard,Automatic,93000,Jeddah,83000
Toyota,Prado,2021,Saudi,Semi Full,Automatic,3000,Dammam,174000
Hyundai,Elantra,2018,Other,Standard,Automatic,83000,Riyadh,50000
Honda,Civic,2017,Saudi,Standard,Automatic,200000,Jeddah,38000
Toyota,Furniture,2021,Saudi,Semi Full,Automatic,29000,Qassim,145000
Lexus,RX,2019,Saudi,Full,Automatic,129000,Jeddah,178000
Land Rover,Range Rover,2014,Saudi,Full,Automatic,80000,Makkah,230000
Toyota,Camry,2019,Saudi,Full,Automatic,8000,Makkah,0
GMC,Yukon,2017,Saudi,Standard,Automatic,137317,Dammam,130000
Toyota,Avalon,2008,Other,Full,Automatic,169000,Riyadh,0
Nissan,Bus Urvan,2020,Saudi,Standard,Manual,27000,Riyadh,68000
Toyota,Aurion,2015,Saudi,Semi Full,Automatic,300,Jazan,50000
Nissan,Sunny,2019,Saudi,Standard,Automatic,112963,Riyadh,27500
Hyundai,Elantra,2019,Saudi,Standard,Automatic,108650,Riyadh,43000
Chevrolet,Malibu,2013,Saudi,Semi Full,Automatic,122455,Riyadh,36000
Nissan,Sunny,2019,Saudi,Standard,Automatic,93762,Riyadh,26800
Toyota,Rav4,2020,Gulf Arabic,Full,Automatic,15000,Dammam,111000
Mazda,CX9,2019,Saudi,Full,Automatic,89000,Riyadh,99000
Ford,Expedition,2013,Saudi,Standard,Automatic,348000,Riyadh,50000
GMC,Yukon,2008,Saudi,Full,Automatic,286000,Riyadh,48000
Toyota,Camry,2020,Saudi,Standard,Automatic,46000,Riyadh,75000
Lexus,ES,2015,Saudi,Full,Automatic,85000,Riyadh,80000
Toyota,Land Cruiser,1993,Saudi,Semi Full,Manual,400,Tabouk,12000
Kia,Cadenza,2017,Saudi,Standard,Automatic,115000,Riyadh,55000
Hyundai,Tucson,2016,Saudi,Semi Full,Automatic,157000,Riyadh,50000
Hyundai,Tucson,2019,Saudi,Semi Full,Automatic,24000,Riyadh,68000
Genesis,Platinum,2015,Saudi,Semi Full,Automatic,181000,Riyadh,70000
Genesis,G80,2019,Saudi,Semi Full,Automatic,84000,Riyadh,120000
Toyota,Prado,2016,Saudi,Semi Full,Automatic,201000,Riyadh,108000
GMC,Yukon,2009,Saudi,Standard,Automatic,395000,Riyadh,43000
Toyota,Rav4,2016,Saudi,Full,Automatic,363000,Riyadh,58000
Hyundai,Accent,2020,Saudi,Standard,Automatic,2000,Riyadh,42000
Lexus,ES,2013,Saudi,Full,Automatic,349000,Riyadh,70000
Hyundai,Sonata,2019,Saudi,Semi Full,Automatic,78000,Riyadh,62000
Genesis,G80,2018,Saudi,Semi Full,Automatic,75000,Riyadh,110000
Honda,Accord,2016,Saudi,Full,Automatic,350000,Riyadh,50000
Genesis,G80,2018,Saudi,Semi Full,Automatic,127000,Riyadh,93000
Lexus,LX,2015,Saudi,Full,Automatic,247000,Riyadh,165000
Nissan,Patrol,2012,Saudi,Semi Full,Automatic,381000,Riyadh,75000
